Artist,Country
Velocity Made Good,United Kingdom
Venetian Snares,Canada
Verschillende artiesten,Unknown
Viagra Boys,Sweden
Volbeat,Denmark
Von Hertzen Brothers,Finland
Voyager,Australia
W.A.S.P.,United States
Wardruna,Norway
Warpaint,United States
Watain,Sweden
Wave Arising,Unknown
Wax Tailor,France
We Came From Wolves,United Kingdom
Weather Systems,United States
Wednesday,United States
Weezer,United States
Wheel,Finland
When Icarus Falls,Switzerland
While She Sleeps,United Kingdom
Whirr,United States
White Lies,United Kingdom
White Ward,Ukraine
Whitechapel,United States
William Basinski,United States
Wobbler,Norway
Wolf Alice,United Kingdom
Wolverine,Sweden
Wolves in the Throne Room,United States
Woods of Ypres,Canada
Wunderhorse,United Kingdom
Xiu Xiu,United States
Yard Act,United Kingdom
Yeah Yeah Yeahs,United States
YelworC,Germany
Yes,United Kingdom
Yo La Tengo,United States
Yoth Iria,Greece
Youth Code,United States
Yuri Gagarin (SWE),Sweden
Zeal & Ardor,Switzerland
Zero 9:36,United States
a-ha,Norway
bar italia,United Kingdom
bby,Unknown
betcover!!,Japan
billy woods,United States
billy woods & Kenny Segal,United States
black midi,United Kingdom
blessthefall,United States
blink-182,United States
boygenius,United States
cEvin Key,Canada
cEvin Key & Ken Hiwatt Marshall,Canada
caroline,United Kingdom
clipping.,United States
corto.alto,United Kingdom
glass beach,United States
kangding ray,France
mind.in.a.box,Austria
my bloody valentine,United Kingdom
"""nothing,nowhere.""",Unknown
pg.lost,Sweden
shame,United Kingdom
sleepmakeswaves,Australia
thrown,Sweden
toe,Japan
µ-Ziq,United Kingdom
АИГЕЛ,Russia
Агата Кристи,Russia
Аквариум,Russia
Ария,Russia
Борис Гребенщиков,Russia
Вера Полозкова,Russia
Встреча Рыбы,Russia
Дайте танк (!),Russia
Дельфин,Russia
Дурной Вкус,Russia
Земфира,Russia
Карелия,Russia
Король и Шут,Russia
Краснознамённая дивизия имени моей бабушки,Russia
Линда,Russia
Мой Июль,Russia
Монеточка,Russia
Мумий Тролль,Russia
Наутилус Помпилиус,Russia
Ночные Снайперы,Russia
Ольга Арефьева и Ковчег,Russia
Порнофильмы,Russia
Сплин,Russia
Сруб,Russia
Тальник,Russia
Танцы Минус,Russia
Технология,Russia
Холодный Год,Russia
††† (Crosses),United States
